Staphylococcus_aureus_NCTC12035.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
Staphylococcus_aureus_NCTC12232.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC12233.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13132.fasta	saureus	247	arcC(3)	aroE(3)	glpF(1)	gmk(12)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC13133.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13135.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13136.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13137.fasta	saureus	1148	arcC(1)	aroE(61)	glpF(1)	gmk(8)	pta(12)	tpi(4)	yqiL(10)
Staphylococcus_aureus_NCTC13138.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
Staphylococcus_aureus_NCTC13139.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13140.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13142.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
Staphylococcus_aureus_NCTC13297.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
Staphylococcus_aureus_NCTC13298.fasta	saureus	121	arcC(6)	aroE(5)	glpF(6)	gmk(2)	pta(7)	tpi(14)	yqiL(5)
Staphylococcus_aureus_NCTC13299.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC13300.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC13373.fasta	saureus	39	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(2)	tpi(2)	yqiL(2)
Staphylococcus_aureus_NCTC13394.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13395.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC13434.fasta	saureus	123	arcC(6)	aroE(5)	glpF(6)	gmk(2)	pta(7)	tpi(17)	yqiL(19)
Staphylococcus_aureus_NCTC13552.fasta	saureus	425	arcC(18)	aroE(33)	glpF(6)	gmk(20)	pta(7)	tpi(50)	yqiL(48)
Staphylococcus_aureus_NCTC13616.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
Staphylococcus_aureus_NCTC13626.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC2669.fasta	saureus	-	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(~2)
Staphylococcus_aureus_NCTC3761.fasta	saureus	-	arcC(~283)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC4136.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC4137.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC4163.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC5657.fasta	saureus	-	arcC(8)	aroE(7)	glpF(~233)	gmk(2)	pta(9)	tpi(9)	yqiL(7)
Staphylococcus_aureus_NCTC5658.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC5660.fasta	saureus	705	arcC(6)	aroE(72)	glpF(50)	gmk(43)	pta(49)	tpi(67)	yqiL(59)
Staphylococcus_aureus_NCTC5661.fasta	spseudintermedius	-	ack(1)	cpn60(9)	fdh(2)	pta(23)	purA(1)	sar(2)	tuf(2)
Staphylococcus_aureus_NCTC5663.fasta	saureus	350	arcC(6)	aroE(79)	glpF(51)	gmk(47)	pta(7)	tpi(70)	yqiL(61)
Staphylococcus_aureus_NCTC6131.fasta	saureus	395	arcC(10)	aroE(47)	glpF(8)	gmk(26)	pta(26)	tpi(32)	yqiL(2)
Staphylococcus_aureus_NCTC6133.fasta	saureus	121	arcC(6)	aroE(5)	glpF(6)	gmk(2)	pta(7)	tpi(14)	yqiL(5)
Staphylococcus_aureus_NCTC6135.fasta	saureus	-	arcC(18)	aroE(153)	glpF(6)	gmk(~2)	pta(38)	tpi(50)	yqiL(5)
Staphylococcus_aureus_NCTC6136.fasta	saureus	9	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC6507.fasta	saureus	10	arcC(8)	aroE(7)	glpF(6)	gmk(2)	pta(9)	tpi(9)	yqiL(7)
Staphylococcus_aureus_NCTC6571.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC6966.fasta	saureus	890	arcC(18)	aroE(33)	glpF(45)	gmk(18)	pta(109)	tpi(14)	yqiL(2)
Staphylococcus_aureus_NCTC7121.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC7414.fasta	saureus	121	arcC(6)	aroE(5)	glpF(6)	gmk(2)	pta(7)	tpi(14)	yqiL(5)
Staphylococcus_aureus_NCTC7415.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC7428.fasta	saureus	705	arcC(6)	aroE(72)	glpF(50)	gmk(43)	pta(49)	tpi(67)	yqiL(59)
Staphylococcus_aureus_NCTC7445.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC7446.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC7447.fasta	saureus	464	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(29)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC7485.fasta	saureus	351	arcC(6)	aroE(72)	glpF(50)	gmk(43)	pta(52)	tpi(67)	yqiL(59)
Staphylococcus_aureus_NCTC7712.fasta	saureus	-	arcC(~38)	aroE(55)	glpF(45)	gmk(18)	pta(38)	tpi(14)	yqiL(2)
Staphylococcus_aureus_NCTC7856.fasta	saureus	890	arcC(18)	aroE(33)	glpF(45)	gmk(18)	pta(109)	tpi(14)	yqiL(2)
Staphylococcus_aureus_NCTC7887.fasta	spseudintermedius	-	ack(-)	cpn60(-)	fdh(-)	pta(-)	purA(-)	sar(-)	tuf(~6)
Staphylococcus_aureus_NCTC8004.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC8317.fasta	saureus	25	arcC(4)	aroE(1)	glpF(4)	gmk(1)	pta(5)	tpi(5)	yqiL(4)
Staphylococcus_aureus_NCTC8399.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC8507.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC8530.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC8724.fasta	saureus	9	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC8725.fasta	saureus	9	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC8726.fasta	saureus	-	arcC(10)	aroE(~14)	glpF(8)	gmk(2)	pta(10)	tpi(32)	yqiL(2)
Staphylococcus_aureus_NCTC8765.fasta	saureus	9	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC8766.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
Staphylococcus_aureus_NCTC9309.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC9369.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
Staphylococcus_aureus_NCTC9393.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
Staphylococcus_aureus_NCTC9546.fasta	saureus	692	arcC(12)	aroE(89)	glpF(1)	gmk(1)	pta(4)	tpi(5)	yqiL(90)
Staphylococcus_aureus_NCTC9547.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC9551.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC9553.fasta	saureus	151	arcC(6)	aroE(72)	glpF(12)	gmk(43)	pta(49)	tpi(67)	yqiL(59)
Staphylococcus_aureus_NCTC9555.fasta	saureus	133	arcC(6)	aroE(66)	glpF(46)	gmk(2)	pta(7)	tpi(50)	yqiL(18)
Staphylococcus_aureus_NCTC9612.fasta	saureus	692	arcC(12)	aroE(89)	glpF(1)	gmk(1)	pta(4)	tpi(5)	yqiL(90)
Staphylococcus_aureus_NCTC9613.fasta	saureus	692	arcC(12)	aroE(89)	glpF(1)	gmk(1)	pta(4)	tpi(5)	yqiL(90)
Staphylococcus_aureus_NCTC9614.fasta	saureus	692	arcC(12)	aroE(89)	glpF(1)	gmk(1)	pta(4)	tpi(5)	yqiL(90)
Staphylococcus_aureus_NCTC9752.fasta	saureus	97	arcC(3)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(5)	yqiL(3)
Staphylococcus_aureus_NCTC9944.fasta	saureus	240	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(21)	tpi(4)	yqiL(3)
